doc_id,WorkerId,worker_label
https://en.wikipedia.org//wiki/Forming_processes,-2517175569084723670,1
https://en.wikipedia.org//wiki/Forming_processes,-335000986350837491,0
https://en.wikipedia.org//wiki/Forming_processes,-364087149378772560,1
https://en.wikipedia.org//wiki/Wide-body_aircraft,-364087149378772560,1
https://en.wikipedia.org//wiki/Wide-body_aircraft,-2517175569084723670,1
https://en.wikipedia.org//wiki/Wide-body_aircraft,-335000986350837491,1
https://en.wikipedia.org//wiki/Federated_Wireless,2382865054554713228,1
https://en.wikipedia.org//wiki/Federated_Wireless,-335000986350837491,1
https://en.wikipedia.org//wiki/Federated_Wireless,-364087149378772560,0
https://en.wikipedia.org//wiki/Gene_delivery,2382865054554713228,1
https://en.wikipedia.org//wiki/Gene_delivery,1699069300121877932,0
https://en.wikipedia.org//wiki/Gene_delivery,-2517175569084723670,1
https://en.wikipedia.org//wiki/Cable_television,-364087149378772560,1
https://en.wikipedia.org//wiki/Cable_television,-335000986350837491,1
https://en.wikipedia.org//wiki/Cable_television,-2517175569084723670,1
https://en.wikipedia.org//wiki/Membrane_technology,-335000986350837491,1
https://en.wikipedia.org//wiki/Membrane_technology,-2517175569084723670,1
https://en.wikipedia.org//wiki/Membrane_technology,-364087149378772560,1
https://en.wikipedia.org//wiki/Military_aircraft,2382865054554713228,1
https://en.wikipedia.org//wiki/Military_aircraft,-2517175569084723670,0
https://en.wikipedia.org//wiki/Military_aircraft,6305556135528905705,1
https://en.wikipedia.org//wiki/Holographic_data_storage,-2517175569084723670,1
https://en.wikipedia.org//wiki/Holographic_data_storage,-335000986350837491,1
https://en.wikipedia.org//wiki/Holographic_data_storage,-364087149378772560,1
https://en.wikipedia.org//wiki/Photoelectrochemistry,2266563893737398713,0
https://en.wikipedia.org//wiki/Photoelectrochemistry,-335000986350837491,1
https://en.wikipedia.org//wiki/Photoelectrochemistry,2585679631782667069,1
https://en.wikipedia.org//wiki/Jet_pack,2382865054554713228,1
https://en.wikipedia.org//wiki/Jet_pack,-335000986350837491,1
https://en.wikipedia.org//wiki/Jet_pack,7394618247449885890,0
https://en.wikipedia.org//wiki/Machine_vision,6305556135528905705,1
https://en.wikipedia.org//wiki/Machine_vision,-2517175569084723670,1
https://en.wikipedia.org//wiki/Machine_vision,2585679631782667069,1
https://en.wikipedia.org//wiki/Online_banking,7394618247449885890,1
https://en.wikipedia.org//wiki/Online_banking,-364087149378772560,1
https://en.wikipedia.org//wiki/Online_banking,-335000986350837491,1
https://en.wikipedia.org//wiki/DNA_nanotechnology,-335000986350837491,1
https://en.wikipedia.org//wiki/DNA_nanotechnology,2382865054554713228,1
https://en.wikipedia.org//wiki/DNA_nanotechnology,-2517175569084723670,1
https://en.wikipedia.org//wiki/Micropayment,-2517175569084723670,1
https://en.wikipedia.org//wiki/Micropayment,2585679631782667069,1
https://en.wikipedia.org//wiki/Micropayment,5531640727458925793,0
https://en.wikipedia.org//wiki/Carrier-based_aircraft,-2517175569084723670,0
https://en.wikipedia.org//wiki/Carrier-based_aircraft,-335000986350837491,1
https://en.wikipedia.org//wiki/Carrier-based_aircraft,-364087149378772560,1
https://en.wikipedia.org//wiki/Microwave_transmission,1699069300121877932,0
https://en.wikipedia.org//wiki/Microwave_transmission,-2517175569084723670,1
https://en.wikipedia.org//wiki/Microwave_transmission,-335000986350837491,1
https://en.wikipedia.org//wiki/Reconnaissance_aircraft,2382865054554713228,1
https://en.wikipedia.org//wiki/Reconnaissance_aircraft,-335000986350837491,1
https://en.wikipedia.org//wiki/Reconnaissance_aircraft,-2517175569084723670,1
