,WorkerId,sentence_id,sentence_label
0,01a012aad7ebbd059fee4c08b5574a71c36aaf41,0,1
1,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1,0
2,01a012aad7ebbd059fee4c08b5574a71c36aaf41,2,0
3,01a012aad7ebbd059fee4c08b5574a71c36aaf41,3,0
4,01a012aad7ebbd059fee4c08b5574a71c36aaf41,4,0
5,01a012aad7ebbd059fee4c08b5574a71c36aaf41,5,0
6,01a012aad7ebbd059fee4c08b5574a71c36aaf41,6,0
7,01a012aad7ebbd059fee4c08b5574a71c36aaf41,7,0
8,01a012aad7ebbd059fee4c08b5574a71c36aaf41,8,0
9,01a012aad7ebbd059fee4c08b5574a71c36aaf41,9,0
10,01a012aad7ebbd059fee4c08b5574a71c36aaf41,10,0
11,01a012aad7ebbd059fee4c08b5574a71c36aaf41,11,0
12,01a012aad7ebbd059fee4c08b5574a71c36aaf41,12,0
13,01a012aad7ebbd059fee4c08b5574a71c36aaf41,13,0
14,01a012aad7ebbd059fee4c08b5574a71c36aaf41,14,0
15,01a012aad7ebbd059fee4c08b5574a71c36aaf41,15,0
16,01a012aad7ebbd059fee4c08b5574a71c36aaf41,16,0
17,01a012aad7ebbd059fee4c08b5574a71c36aaf41,17,0
18,01a012aad7ebbd059fee4c08b5574a71c36aaf41,18,1
19,01a012aad7ebbd059fee4c08b5574a71c36aaf41,19,0
20,01a012aad7ebbd059fee4c08b5574a71c36aaf41,20,0
21,01a012aad7ebbd059fee4c08b5574a71c36aaf41,21,0
22,01a012aad7ebbd059fee4c08b5574a71c36aaf41,22,0
23,01a012aad7ebbd059fee4c08b5574a71c36aaf41,23,0
24,01a012aad7ebbd059fee4c08b5574a71c36aaf41,24,0
25,01a012aad7ebbd059fee4c08b5574a71c36aaf41,25,0
26,01a012aad7ebbd059fee4c08b5574a71c36aaf41,26,0
27,01a012aad7ebbd059fee4c08b5574a71c36aaf41,27,0
28,01a012aad7ebbd059fee4c08b5574a71c36aaf41,28,0
29,01a012aad7ebbd059fee4c08b5574a71c36aaf41,29,0
30,01a012aad7ebbd059fee4c08b5574a71c36aaf41,30,0
31,01a012aad7ebbd059fee4c08b5574a71c36aaf41,31,0
32,01a012aad7ebbd059fee4c08b5574a71c36aaf41,32,0
33,01a012aad7ebbd059fee4c08b5574a71c36aaf41,33,0
34,01a012aad7ebbd059fee4c08b5574a71c36aaf41,34,0
35,01a012aad7ebbd059fee4c08b5574a71c36aaf41,35,0
36,01a012aad7ebbd059fee4c08b5574a71c36aaf41,36,0
37,01a012aad7ebbd059fee4c08b5574a71c36aaf41,37,0
38,01a012aad7ebbd059fee4c08b5574a71c36aaf41,38,0
39,01a012aad7ebbd059fee4c08b5574a71c36aaf41,39,0
40,01a012aad7ebbd059fee4c08b5574a71c36aaf41,40,0
41,01a012aad7ebbd059fee4c08b5574a71c36aaf41,41,0
42,01a012aad7ebbd059fee4c08b5574a71c36aaf41,42,0
43,01a012aad7ebbd059fee4c08b5574a71c36aaf41,43,0
44,01a012aad7ebbd059fee4c08b5574a71c36aaf41,44,0
45,01a012aad7ebbd059fee4c08b5574a71c36aaf41,45,0
46,01a012aad7ebbd059fee4c08b5574a71c36aaf41,46,0
47,01a012aad7ebbd059fee4c08b5574a71c36aaf41,47,0
48,01a012aad7ebbd059fee4c08b5574a71c36aaf41,48,0
49,01a012aad7ebbd059fee4c08b5574a71c36aaf41,49,0
50,01a012aad7ebbd059fee4c08b5574a71c36aaf41,50,0
51,01a012aad7ebbd059fee4c08b5574a71c36aaf41,51,0
52,01a012aad7ebbd059fee4c08b5574a71c36aaf41,52,0
53,01a012aad7ebbd059fee4c08b5574a71c36aaf41,53,0
54,01a012aad7ebbd059fee4c08b5574a71c36aaf41,54,0
55,01a012aad7ebbd059fee4c08b5574a71c36aaf41,55,0
56,01a012aad7ebbd059fee4c08b5574a71c36aaf41,56,0
57,01a012aad7ebbd059fee4c08b5574a71c36aaf41,57,0
58,01a012aad7ebbd059fee4c08b5574a71c36aaf41,58,0
59,01a012aad7ebbd059fee4c08b5574a71c36aaf41,59,0
60,01a012aad7ebbd059fee4c08b5574a71c36aaf41,60,0
61,01a012aad7ebbd059fee4c08b5574a71c36aaf41,61,0
62,01a012aad7ebbd059fee4c08b5574a71c36aaf41,62,0
63,01a012aad7ebbd059fee4c08b5574a71c36aaf41,63,0
64,01a012aad7ebbd059fee4c08b5574a71c36aaf41,64,0
65,01a012aad7ebbd059fee4c08b5574a71c36aaf41,65,0
66,01a012aad7ebbd059fee4c08b5574a71c36aaf41,66,0
67,01a012aad7ebbd059fee4c08b5574a71c36aaf41,67,1
68,01a012aad7ebbd059fee4c08b5574a71c36aaf41,68,0
69,01a012aad7ebbd059fee4c08b5574a71c36aaf41,69,0
70,01a012aad7ebbd059fee4c08b5574a71c36aaf41,70,0
71,01a012aad7ebbd059fee4c08b5574a71c36aaf41,71,0
72,01a012aad7ebbd059fee4c08b5574a71c36aaf41,72,0
73,01a012aad7ebbd059fee4c08b5574a71c36aaf41,73,0
74,01a012aad7ebbd059fee4c08b5574a71c36aaf41,74,0
75,01a012aad7ebbd059fee4c08b5574a71c36aaf41,75,0
76,01a012aad7ebbd059fee4c08b5574a71c36aaf41,76,0
77,01a012aad7ebbd059fee4c08b5574a71c36aaf41,77,0
